title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;testitem
"Bayle E.; Guilbaud E.; Hourlier S.; Lelandais S.; Leroy L.; Plantier J.; Neveu P.";0.0;Binocular rivalry in monocular augmented reality devices: A review;2019;Proceedings of SPIE - The International Society for Optical Engineering;10.1117/12.2518928;This review aims to clarify the parameters affecting binocular rivalry, in order to improve comfort for users of monocular augmented reality devices. Augmented reality devices allow users to see virtual information superimposed on the environment. The particularity of monocular systems is that they do not stimulate the eyes in the same way and can therefore induce binocular rivalry. This occurs when the brain is unable to merge the different images presented to each eye and perception alternates between them. It can cause visual fatigue, headache and visual suppression. Binocular rivalry can be characterized in terms of alternation rate, predominance (i.e. total proportion of the binocular rivalry viewing time that a stimulus is dominant) and average dominance duration (for all individual dominance periods). The literature suggests that these variables depend on the conditions of use and the visual stimuli available to the subject. Notably, several parameters have an impact, including contrast, spatial frequency, brightness, etc. The impact of other parameters, such as ocular dominance, remains the subject of debate. With respect to the latter, the literature describes various definitions and tests, and it appears that there are three main forms: motor, acuity and sensorial, the latter being of interest for binocular rivalry. © 2019 SPIE.
"Schloss K.B.; Palmer S.E.";0.0;An ecological framework for temporal and individual differences in color preferences;2017;Vision Research;10.1016/j.visres.2017.01.010;"There are well-known and extensive differences in color preferences between individuals, but there are also within-individual differences from one time to another. Despite the seeming independence between these individual and temporal effects, we propose that they have the same underlying cause: people's ecological experiences with color-associated objects and events. Our approach is motivated by the Ecological Valence Theory (EVT; Palmer & Schloss, 2010) which states that preference for a given color is determined by the combined valence (liking/disliking) of all objects and events associated with that color. We define three ecologically-based hypotheses for explaining temporal and individual differences in color preferences concerning: (1) differences in object valences, (2) differences in color-object associations, and (3) differences in object activations in the mind when preferences are measured. We review prior studies that support these hypotheses and raise open research questions about untested predictions. We also extend the computational framework of the EVT by defining a single weighted average equation that captures both individual and temporal differences in color preferences. Finally, we consider other factors that potentially contribute to color preferences, including abstract symbolic associations, color in design, and psychophysical and/or physiological factors. © 2017 Elsevier Ltd"
"Bao M.; Dong B.; Liu L.; Engel S.A.; Jiang Y.";0.0;The Best of Both Worlds: Adaptation During Natural Tasks Produces Long-Lasting Plasticity in Perceptual Ocular Dominance;2018;Psychological Science;10.1177/0956797617728126;In human vision, one eye is usually stronger than the other. This is called ocular dominance. Extremely imbalanced ocular dominance can be found among certain patient groups, for example, in patients with amblyopia. Here, we introduce a novel method to rebalance ocular dominance. We developed an altered-reality system that subjects used to interact with the natural world, the appearance of which was changed through a real-time image process. Several daily adaptation sessions lasting 3 hr each reduced sensory ocular dominance in adults who were not diagnosed with amblyopia and improved vision in patients with amblyopia. Surprising additional strengthening was found over the subsequent 2 months, when subjects experienced natural vision only. Our method effectively trains subjects to use both eyes in the wide variety of everyday tasks. The transfer of this training to everyday vision likely produced the continuing growth in effects during the months after the training. These findings are promising for the application of this method in future clinical research on amblyopia. © 2017, © The Author(s) 2017.
"Spiegel D.P.; Baldwin A.S.; Hess R.F.";0.0;Ocular dominance plasticity: Inhibitory interactions and contrast equivalence;2017;Scientific Reports;10.1038/srep39913;Brief monocular occlusion results in a transient change in ocular dominance, such that the previously patched eye makes a stronger contribution to the binocular percept after occlusion. The previously unpatched eye therefore makes a correspondingly weaker contribution to the binocular sum. To shed light on the mechanism underlying this change we investigate how the relationship between the perception of fusion, suppression, and diplopia changes after short-term monocular deprivation. Results show that fusible stimuli seen by the unpatched eye are actively suppressed as a result of patching and that this can be reversed by an interocular contrast imbalance. This suggests that dichoptic inhibition plays an important role in ocular dominance changes due to short-term occlusion, possibly by altering the contrast gain prior to binocular summation. This may help explain why this form of plasticity affects the perception of both fusible and rivalrous stimuli. © The Author(s) 2017.
"Le Floch A.; Ropars G.";0.0;Left – Right asymmetry of the Maxwell spot centroids in adults without and with dyslexia;2017;Proceedings of the Royal Society B: Biological Sciences;10.1098/rspb.2017.1380;In human vision, the brain has to select one view of the world from our two eyes. However, the existence of a clear anatomical asymmetry providing an initial imbalance for normal neural development is still not understood. Using a so-called foveascope, we found that for a cohort of 30 normal adults, the two blue cone-free areas at the centre of the foveas are asymmetrical. The noise-stimulated afterimage dominant eye introduced here corresponds to the circular blue cone-free area, while the non-dominant eye corresponds to the diffuse and irregular elliptical outline. By contrast, we found that this asymmetry is absent or frustrated in a similar cohort of 30 adults with normal ocular status, but with dyslexia, i.e. with visual and phonological deficits. In this case, our results show that the two Maxwell centroid outlines are both circular but lead to an undetermined afterimage dominance with a coexistence of primary and mirror images. The interplay between the lack of asymmetry and the development in the neural maturation of the brain pathways suggests new implications in both fundamental and biomedical sciences. © 2017 The Author(s) Published by the Royal Society. All rights reserved.
"Fujino Y.; Murata H.; Mayama C.; Matsuo H.; Asaoka R.";0.0;"Applying ""lasso"" Regression to Predict Future Glaucomatous Visual Field Progression in the Central 10 Degrees";2017;Journal of Glaucoma;10.1097/IJG.0000000000000577;Purpose of the Study: We recently reported that it is beneficial to apply least absolute shrinkage and selection operator (Lasso) regression to predict future 24-2 visual field (VF) progression. The purpose of the current study was to investigate the usefulness of Lasso regression to predict VF progression in the central 10 degrees (10-2) in glaucoma patients. Methods: Series of 10 VFs (Humphrey Field Analyzer 10-2 SITA-standard) from each of 149 eyes in 110 open angle glaucoma patients, obtained over 5.7±1.4 years (mean±SD) were investigated. Mean deviation values of the 10th VF were predicted using varying numbers of VFs (ranging from the first to third VFs to the first to ninth VFs), applying ordinary least square regression (OLSLR) and Lasso regression. Absolute prediction errors were then compared. Results: With OLSLR, prediction error varied between 5.4±5.0 (using first to third VFs) and 1.1±1.6 dB (using first to ninth VFs). Significantly smaller prediction errors were obtained with Lasso regression, in particular with small numbers of VFs (from 2.1±2.8: first to third VFs, to 1.0±1.6 dB: first to ninth VFs). A large λ value, which is an index showing the degree of penalty in Lasso regression, was observed when a small number of VFs were used for prediction. Conclusion: Mean deviation prediction using OLSLR with a small number of VFs resulted in large prediction errors. It was useful to apply Lasso regression when predicting future progression of the central 10 degrees, compared to OLSLR. Copyright © 2016 Wolters Kluwer Health, Inc. All rights reserved.
"Kato S.; Ito M.; Shimizu K.; Kamiya K.";0.0;Etiology and outcomes of secondary surgical intervention for dissatisfied patients after pseudophakic monovision;2018;International Ophthalmology;10.1007/s10792-017-0551-1;Purpose: To evaluate the etiology and the clinical outcomes of secondary surgical interventions for dissatisfied patients after pseudophakic monovision. Setting: Department of Ophthalmology, Kitasato University Hospital, Kanagawa, Japan. Design: Retrospective case series. Methods: This study comprised 12 eyes in 12 patients (age 66.2 ± 5.6 years) who underwent photorefractive keratectomy (PRK) enhancement to improve their dissatisfaction after pseudophakic monovision. We quantitatively assessed the visual and refractive outcomes and the subjective satisfaction measured using a visual analog scale, that ranged from 0 (very dissatisfied) to 10 (very satisfied), before and 3 months after PRK enhancement. Results: Six (50%) of the 12 patients were dissatisfied with their various distance visions because of a large amount of anisometropia (≥2.50 D). Two (16.7%) were dissatisfied with their distance vision after conventional monovision because of residual cylindrical errors (≥0.75 D) in the dominant eye. Three (25%) was an unknown origin. The remaining one of the 12 patients was dissatisfied due to the unadaptability to crossed monovision. Eleven (91.7%) eyes were within ±0.5 D of the targeted correction after PRK enhancement. The overall satisfaction score was significantly improved, from 3.7 ± 2.4 (range 0–7) preoperatively to 6.0 ± 2.4 (range 2–9) postoperatively (p = 0.02). No vision-threatening complications were seen throughout the observation period. Conclusions: PRK enhancement was effective with predictable refractive results and thus improved patient satisfaction for dissatisfied patients after pseudophakic monovision. These findings also suggest that the accurate correction of refractive errors plays a key role in successful pseudophakic monovision. © 2017, Springer Science+Business Media Dordrecht.
"Yang J.; Jiang B.; Wang Y.; Lu W.; Meng Q.";0.0;Sparse representation based stereoscopic image quality assessment accounting for perceptual cognitive process;2018;Information Sciences;10.1016/j.ins.2017.10.053;In this paper, we propose a sparse representation based Reduced-Reference Image Quality Assessment (RR-IQA) index for stereoscopic images from the following two perspectives: 1) Human visual system (HVS) always tries to infer the meaningful information and reduces uncertainty from the visual stimuli, and the entropy of primitive (EoP) can well describe this visual cognitive progress when perceiving natural images. 2) Ocular dominance (also known as binocularity) which represents the interaction between two eyes is quantified by the sparse representation coefficients. Inspired by previous research, the perception and understanding of an image is considered as an active inference process determined by the level of “surprise”, which can be described by EoP. Therefore, the primitives learnt from natural images can be utilized to evaluate the visual information by computing entropy. Meanwhile, considering the binocularity in stereo image quality assessment, a feasible way is proposed to characterize this binocular process according to the sparse representation coefficients of each view. Experimental results on LIVE 3D image databases and MCL database further demonstrate that the proposed algorithm achieves high consistency with subjective evaluation. © 2017 Elsevier Inc.
"Moro S.S.; Steeves J.K.E.";0.0;Audiovisual plasticity following early abnormal visual experience: Reduced McGurk effect in people with one eye;2018;Neuroscience Letters;10.1016/j.neulet.2018.02.031;Previously, we have shown that people who have had one eye surgically removed early in life during visual development have enhanced sound localization [1] and lack visual dominance, commonly observed in binocular and monocular (eye-patched) viewing controls [2]. Despite these changes, people with one eye integrate auditory and visual components of multisensory events optimally [3]. The current study investigates how people with one eye perceive the McGurk effect, an audiovisual illusion where a new syllable is perceived when visual lip movements do not match the corresponding sound [4]. We compared individuals with one eye to binocular and monocular viewing controls and found that they have a significantly smaller McGurk effect compared to binocular controls. Additionally, monocular controls tended to perceive the McGurk effect less often than binocular controls suggesting a small transient modulation of the McGurk effect. These results suggest altered weighting of the auditory and visual modalities with both short and long-term monocular viewing. These results indicate the presence of permanent adaptive perceptual accommodations in people who have lost one eye early in life that may serve to mitigate the loss of binocularity during early brain development. © 2018
"Zhang Y.; Xiang Y.; Guo Y.; Zhang L.";0.0;Beauty-related perceptual bias: Who captures the mind of the beholder?;2018;Brain and Behavior;10.1002/brb3.945;"Introduction: To explore the beauty-related perceptual bias and answers the question: Who can capture the mind of the beholder? Many studies have explored the specificity of human faces through ERP or other ways, and the materials they used are general human faces and other objects. Therefore, we want to further explore the difference between attractive faces and beautiful objects such as flowers. Methods: We recorded the eye movement of 22 male observers and 23 female observers using a standard two-alternative forced choice. Results: (1) The attractive faces were looked at longer and more often in comparison with the beautiful flowers; (2) fixation counts of female participants are more than male participants; and (3) the participants watched the beautiful flowers first, followed by the attractive faces, but there was no significant difference on the first fixation duration between the beautiful flowers and the attractive faces. Conclusions: The data in this study may suggest that people prefer attractive faces to beautiful flowers. © 2018 The Chinese National Social Science Foundation. Brain and Behavior published by Wiley Periodicals, Inc."
"Jacot-Guillarmod A.; Wang Y.; Pedroza C.; Ogmen H.; Kilpatrick Z.; Josić K.";0.0;Extending Levelt's Propositions to perceptual multistability involving interocular grouping;2017;Vision Research;10.1016/j.visres.2016.12.017;Levelt's Propositions are central to understanding a wide range of multistable perceptual phenomena, but it is unclear whether they extend to perceptual multistability involving interocular grouping. We presented split-grating stimuli with complementary halves of the same color (either red or green) to human subjects. The subjects reported four percepts in alternation: the two stimuli presented to each eye (half red and half green), as well as the two single color (all red or all green), interocularly grouped percepts. Increasing color saturation lead to increased reports of the single color percept in most subjects, indicating increased predominance of grouped percepts (Levelt's Proposition I). This increase in predominance was due to a decrease in the average dominance duration of single-eye percepts, with grouped percept dominance largely unaffected. This agrees with a generalization of Levelt's Proposition II, as the average dominance duration of the stronger (in this case single-eye) percept was primarily affected by changes in stimulus strength. Moreover, in agreement with Levelt's Proposition III the alternation rate between percepts increased as the difference in the strength of the percepts decreased. © 2017 Elsevier Ltd
"Paquet A.; Golse B.; Girard M.; Olliac B.; Vaivre-Douret L.";0.0;Laterality and Lateralization in Autism Spectrum Disorder, Using a Standardized Neuro-Psychomotor Assessment;2017;Developmental Neuropsychology;10.1080/87565641.2016.1274317;A detailed assessment of laterality in children with Autism Spectrum Disorder (ASD) was realized, including handedness and other measures (muscle tone, manual performance, dominant eye), using a standardized battery for the developmental assessment of neuro-psychomotor functions. The results of the laterality tests relating to cerebral hemisphere organization (spontaneous gestural laterality and tonic laterality) were different in ASD children, and indicate that the cerebral organization could be disrupted. These assessments, added to the observations of usual laterality most often reported in the literature, provide better understanding of the developmental organization from the pathophysiological point of view in children with ASD. © 2017 Taylor & Francis.
"Ding Y.; Naber M.; Gayet S.; van der Stigchel S.; Paffen C.L.";0.0;Assessing the generalizability of eye dominance across binocular rivalry, onset rivalry, and continuous flash suppression;2018;Journal of Vision;10.1167/18.6.6;It is commonly assumed that one eye is dominant over the other eye. Eye dominance is most frequently determined by using the hole-in-the-card test. However, it is currently unclear whether eye dominance as determined by the hole-in-the-card test (so-called sighting eye dominance) generalizes to tasks involving interocular conflict (engaging sensory eye dominance). We therefore investigated whether sighting eye dominance is linked to sensory eye dominance in several frequently used paradigms that involve interocular conflict. Eye dominance was measured by the hole-inthe- card test, binocular rivalry, and breaking continuous flash suppression (b-CFS). Relationships between differences in eye dominance were assessed using Bayesian statistics. Strikingly, none of the three interocular conflict tasks yielded a difference in perceptual report between eyes when comparing the dominant eye with the nondominant eye as determined by the hole-in-the-card test. From this, we conclude that sighting eye dominance is different from sensory eye dominance. Interestingly, eye dominance of onset rivalry correlated with that of ongoing rivalry but not with that of b-CFS. Hence, we conclude that b-CFS reflects a different form of eye dominance than onset and ongoing rivalry. In sum, eye dominance seems to be a multifaceted phenomenon, which is differently expressed across interocular conflict paradigms. Finally, we highly discourage using tests measuring sighting eye dominance to determine the dominant eye in a subsequent experiment involving interocular conflict. Rather, we recommend that whenever experimental manipulations require a priori knowledge of eye dominance, eye dominance should be determined using pretrials of the same task that will be used in the main experiment. © 2018 The Authors.
"Hong J.; Qu H.";0.0;Analysis of structure and function of meibomian glands in healthy population at different ages;2017;Chinese Journal of Ophthalmology;10.3760/cma.j.issn.0412-4081.2017.07.010;Objective: To observe the structure and function of meibomian glands in normal population at different ages. Methods: From October 2011 to August 2012, meibomian gland information was collected in healthy volunteers without any symptoms of ocular discomfort, aged more than 5 years. The people were grouped by every 10 years of age. The meibomian gland opening, secretion state and characteristics and Max's line were observed by slit lamp microscopic examination, and the meibomian gland dropouts were examined by noncontact infrared meibomian gland microscopy. The changes of meibomian glands were scored from 0 to 3, 0 for a normal state, 1 for mild abnormality, 2 for moderate abnormality and 3 for severe abnormality. The Mann-Whitney U test was used to compare the meibomian scores between male and female, and between left and right eyes. The correlation of these scores and the age of volunteers was analyzed by the Spearman test. Results: Among all the 100 volunteers, there were 47 males and 53 females, aged from 5 to 83 years (mean, 40.9±22.9). The meibomian gland dropouts were gradually increasing with age, significantly faster after 40 years old (scores for each age group were 2(1), 2(1), 2(1), 2(1), 3(2), 3.5(1.75), 4(3), 6(2). Meibomian gland opening, secretion traits and secretor status gradually became poorer with age, and changes were dramatically fast in the group of 40-49 years of age [scores of this group were 3(1.5), 3(3) and 2(2)], but slowed down after age of 50 years. Moreover, the Max's line position moved to the front gradually with age, with a marked change in the group of 40-49 years of age [scores for each age group were 0(1), 1(1), 2(2), 2(2), 3(2), 2(2), 3(2)], 4 gland changes showed a significantly positive relation to age(r=0.729, 0.635, 0.669, 0.639, 0.470. P<0.01), but not to gender and eye dominance (P>0.05). Conclusions: Meibomian gland opening and meibomian gland secretion become worse with age. The age of 50 years old is the key period for the meibomian gland changes. Copyright © 2017 by the Chinese Medical Association.
"Park H.; Kang Y.; Yoo M.; Lee B.; Yang J.; Lee J.; Han D.; Oh T.";0.0;The effect of visual field condition on kinetic in upper extremities and e.m.g in lower extremities while performing reaching in normal adults;2017;Journal of Physical Therapy Science;10.1589/jpts.29.88;[Purpose] The aims of this study was to investigate mean velocity and angle of shoulder joint, activation of tibialis anterior and gastrocnemius according to both eyes, dominant eye and non-dominant eye condition during reaching task in normal adults. [Subjects and Methods] Our research recruited 24 participants (male 11, female 13) in Silla University. Participants were performed reaching out movement by conditions of both eye, dominants eye, non-dominants eye. The target was placed at 45 degree diagonal direction and distance far away 130% of their arm length. Kinetic analysis of the upper extremities was investigated by QUALISYS 3-dimensional motion analysis system. Muscle activation were measured by EMG during reaching tasks. The collected data were statistically processed using the SPSS for win version 20.0. [Results] There was a significant difference of shoulder joint velocity of flexion, abduction and internal rotation according to visual field condition during reaching tasks. There was no significant difference of shoulder joint angle and muscle activation according to visual field conditions during reaching tasks. [Conclusion] In conclusion, visual field has an influence on shoulder joint velocity. Therefore, the visual field may be to play an important role in reach performance. © 2017 The Society of Physical Therapy Science. Published by IPEC Inc.
"Lin S.; Mihailovic A.; West S.K.; Johnson C.A.; Friedman D.S.; Kong X.; Ramulu P.Y.";0.0;Predicting visual disability in glaucoma with combinations of vision measures;2018;Translational Vision Science and Technology;10.1167/tvst.7.2.22;Purpose: We characterized vision in glaucoma using seven visual measures, with the goals of determining the dimensionality of vision, and how many and which visual measures best model activity limitation. Methods: We analyzed cross-sectional data from 150 older adults with glaucoma, collecting seven visual measures: integrated visual field (VF) sensitivity, visual acuity, contrast sensitivity (CS), area under the log CS function, color vision, stereoacuity, and visual acuity with noise. Principal component analysis was used to examine the dimensionality of vision. Multivariable regression models using one, two, or three vision tests (and nonvisual predictors) were compared to determine which was best associated with Rasch-analyzed Glaucoma Quality of Life-15 (GQL-15) person measure scores. Results: The participants had a mean age of 70.2 and IVF sensitivity of 26.6 dB, suggesting mild-to-moderate glaucoma. All seven vision measures loaded similarly onto the first principal component (eigenvectors, 0.220–0.442), which explained 56.9% of the variance in vision scores. In models for GQL scores, the maximum adjusted-R2 values obtained were 0.263, 0.296, and 0.301 when using one, two, and three vision tests in the models, respectively, though several models in each category had similar adjusted-R2 values. All three of the best-performing models contained CS. Conclusions: Vision in glaucoma is a multidimensional construct that can be described by several variably-correlated vision measures. Measuring more than two vision tests does not substantially improve models for activity limitation. Translational Relevance: A sufficient description of disability in glaucoma can be obtained using one to two vision tests, especially VF and CS. © 2018 The Authors.
"Gao C.; Wedell D.H.; Kim J.; Weber C.E.; Shinkareva S.V.";0.0;Modelling audiovisual integration of affect from videos and music;2018;Cognition and Emotion;10.1080/02699931.2017.1320979;Two experiments examined how affective values from visual and auditory modalities are integrated. Experiment 1 paired music and videos drawn from three levels of valence while holding arousal constant. Experiment 2 included a parallel combination of three levels of arousal while holding valence constant. In each experiment, participants rated their affective states after unimodal and multimodal presentations. Experiment 1 revealed a congruency effect in which stimulus combinations of the same extreme valence resulted in more extreme state ratings than component stimuli presented in isolation. An interaction between music and video valence reflected the greater influence of negative affect. Video valence was found to have a significantly greater effect on combined ratings than music valence. The pattern of data was explained by a five parameter differential weight averaging model that attributed greater weight to the visual modality and increased weight with decreasing values of valence. Experiment 2 revealed a congruency effect only for high arousal combinations and no interaction effects. This pattern was explained by a three parameter constant weight averaging model with greater weight for the auditory modality and a very low arousal value for the initial state. These results demonstrate key differences in audiovisual integration between valence and arousal. © 2017 Informa UK Limited, trading as Taylor & Francis Group.
"Nosek M.; Hurdálková L.; Cihlář D.";0.0;Influence of laterality and eye dominance on successful shooting in a biathlon;2018;Journal of Physical Education and Sport;10.7752/jpes.2018.s150;The study discusses whether successful shooting in biathlon is influenced by laterality of high school students with sports background who are focusing on biathlon. To obtain the results, we used a laterality test and an eye dominance test from Unifittest 6-60 (T-116 test). At the same time, we analyzed the percentage of successful shooting in each race during the Czech Cup. The study included 37 students from different high schools who were focusing on biathlon. Values of p<0.05 were selected as significant. According to our findings, the results appear to be not statistically significant. The preference for upper limb or eye dominance did not indicate any effect on successful shooting by high schools students, who were focusing on biathlon. © JPES.
"Stuit S.; Brascamp J.; Barendregt M.; van der Smagt M.; te Pas S.";0.0;Image-based and eye-based influences on binocular rivalry have similar spatial profiles;2017;Journal of Vision;10.1167/17.12.14;Binocular rivalry occurs when the images presented to the two eyes do not match. Instead of fusing into a stable percept, perception during rivalry alternates between images over time. However, during rivalry, perception can also resemble a patchwork of parts of both eyes' images. Such integration of image parts across eyes is relatively rare compared to integration of image parts presented to the same eye, suggesting that integration across space during rivalry is primarily rooted at the early monocular level of processing. However, recent evidence suggests that rivalry, and potentially also integration across space during rivalry, has its basis at multiple stages of processing, including stages at which monocular signals are minimal. As such, integration and competition at these later stages would be driven more by image-based factors, such as continuity and color than by eye of origin. Because ''higher'' visual areas also have increasingly larger receptive fields, image-based integration may occur over a larger spatial extent compared to monocular, eye-based integration. We therefore used rival images containing two separate image parts and varied the interimage-part distance (IIPD) to assess the relative contributions of eye of origin and image features to integration across space at increasing IIPDs. Our hypothesis was that the balance between these contributions would shift toward image features as IIPD increased. Instead, results show that the relative contributions of both factors to grouping remain constant as a function of IIPD. This indicates that imagebased grouping is subject to similar spatial constraints as monocular, eye-based grouping, suggesting both kinds of grouping rely on similarly sized receptive fields. © 2017 The Authors.
"Momeni-Moghaddam H.; Ng J.S.; Cesana B.M.; Yekta A.; Sedaghat M.R.";0.0;Accommodative amplitude using the minus lens at different near distances;2017;Indian Journal of Ophthalmology;10.4103/ijo.IJO_545_16;Purpose: The purpose of this study was to compare the mean findings and the repeatability of the minus lens (ML) amplitude of accommodation (AA) at 33 cm and 40 cm. Materials and Methods: AA was measured from the dominant eye of 120 fully corrected subjects using the ML procedure when viewing the target at both 33 and 40 cm. Each measurement was repeated between 24 and 48 hours after the first trial. Results: Mean AA when tested at 33 cm and 40 cm was 10.20 diopter (D) (standard deviation [SD] =1.24) and 8.85 D (SD = 1.23), respectively (P < 0.001). The limits of agreement of the measured amplitude calculated with taking into account of the replicates at 33 and 40 cm were-0.19 (95% confidence interval [CI]:-0.34 to-0.04) and 2.53 (95% CI: 2.38 to 2.68), respectively. The repeatability of testing at the two distances 33 and 40 cm was ± 1.24 and ± 0.99, respectively. In addition, the retest reliability of measured amplitude using the intraclass correlation coefficient was 0.87 (95% CI: 0.789-0.920) at 33 cm and 0.91 (95% CI: 0.872-0.945) at 40 cm. Conclusion: There is no agreement in the obtained amplitude at the two measurement distances. Testing the ML AA at 40 cm may be superior given that a lower repeatability coefficient was observed. However, it is unclear whether the larger amplitude measured at 33 cm reflects a larger increase in accommodation (greater proximity effect) or a decrease in the ability to perceive the first slight sustained blur.
"Hogendoorn H.; Verstraten F.A.J.; MacDougall H.; Alais D.";0.0;Vestibular signals of self-motion modulate global motion perception;2017;Vision Research;10.1016/j.visres.2016.11.002;Certain visual stimuli can have two possible interpretations. These perceptual interpretations may alternate stochastically, a phenomenon known as bistability. Some classes of bistable stimuli, including binocular rivalry, are sensitive to bias from input through other modalities, such as sound and touch. Here, we address the question whether bistable visual motion stimuli, known as plaids, are affected by vestibular input that is caused by self-motion. In Experiment 1, we show that a vestibular self-motion signal biases the interpretation of the bistable plaid, increasing or decreasing the likelihood of the plaid being perceived as globally coherent or transparently sliding depending on the relationship between self-motion and global visual motion directions. In Experiment 2, we find that when the vestibular direction is orthogonal to the visual direction, the vestibular self-motion signal also biases the direction of one-dimensional motion. This interaction suggests that the effect in Experiment 1 is due to the self-motion vector adding to the visual motion vectors. Together, this demonstrates that the perception of visual motion direction can be systematically affected by concurrent but uninformative and task-irrelevant vestibular input caused by self-motion. © 2016 Elsevier Ltd
"Chan T.C.Y.; Kwok P.S.K.; Jhanji V.; Woo V.C.P.; Ng A.L.K.";0.0;Presbyopic correction using monocular bi-aspheric ablation profile (PresbyMAX) in hyperopic eyes: 1-year outcomes;2017;Journal of Refractive Surgery;10.3928/1081597X-20161006-03;PURPOSE: To present the 1-year outcomes of combining monocular bi-aspheric ablation profile and contralateral monofocal LASIK in hyperopic patients with presbyopia. METHODS: In this retrospective case series, 36 consecutive patients (72 eyes) who underwent simultaneous bi-aspheric ablation (PresbyMAX: SCHWIND Eye-Tech-Solutions GmbH and Co KG, Kleinostheim, Germany) in the non-dominant eye and monofocal regular LASIK in the dominant eye for correction of hyperopia and presbyopia were reviewed for 1 year. Binocular uncorrected distance (UDVA), near (UNVA), corrected distance (CDVA), and distance corrected near (DCNVA) visual acuity and manifest refraction were analyzed postoperatively. RESULTS: At 1 year, the mean binocular UDVA improved significantly from 0.26 ± 0.25 to 0.039 ± 0.088 logMAR (P < .001). Binocular UNVA also improved from 0.73 ± 0.30 to 0.10 ± 0.22 logRAD (P < .001). Eighty-seven percent of patients achieved UDVA of 20/25 or better and 90% had UNVA of J3 or better. Simultaneous binocular distance and near vision of 20/25 and J2 or better was achieved in 70%. Only 17% of patients had a binocular DCNVA of J2 or better. No patient suffered from a loss of 2 lines of CDVA. Refractive stability was achieved for both eyes from 1 month postoperatively. The re-treatment rate was 14% for improvement of near vision within 6 months to 1 year. CONCLUSIONS: Presbyopic correction using monocular PresbyMAX combined with monofocal regular LASIK in the fellow eye is safe and acceptable in hyperopic patients. Copyright © SLACK Incorporated.
"Tan J.-K.; Wang Z.; Liu X.-Y.; Zhang Z.-W.";0.0;Advances in the Avellino corneal dystrophy;2017;International Eye Science;10.3980/j.issn.1672-5123.2017.8.15;Avellino corneal dystrophy(ACD) is an autosomal dominant eye disorder caused by mutation of R124H in the transforming growth factor-beta induced gene(TGFBI) on chromosome 5, which was responsible for accumulating of abnormal TGFBI. Although the underlying mechanism by which mutations cause abnormal TGFBI deposition is not yet clear, but we have a better understanding of the etiology and possible pathogenesis of corneal dystrophy with the rapid development of human genetics and molecular biology, and summarizes the current achievement of this disease and understand the roles of TGFBI and its interaction with Periostin, which may contribute to further research in ACD. Copyright 2017 by the IJO Press.
"Luken M.; Yancosek K.E.";0.0;Effects of an Occupational Therapy Hand Dominance Transfer Intervention for Soldiers With Crossed Hand-Eye Dominance;2017;Journal of Motor Behavior;10.1080/00222895.2016.1191420;Crossed dominance (CD) is defined as an individual's dominant hand and dominant eye being on opposite sides of the body. CD negatively impacts an individual's ability to accurately aim and fire long-barreled guns. The authors developed and evaluated a hand dominance transfer (HDT) intervention to improve the M16 rifle shooting accuracy, efficiency, and skill transfer. Twenty-four U.S. Army soldiers with CD were taught how to handle and fire an M16 rifle using the nondominant hand. Training was conducted at a military, indoor laser-equipped weapons simulator. Accuracy for shooting 40 rounds at baseline with the nondominant eye and dominant hand (NDE/DH) was 22.12 compared to shooting 30.46 with the dominant eye and nondominant hand (DE/NDH). This difference was statistically significant with p =.000. The transfer of shooting accuracy skill (retention) following the HDT intervention was 33.42 with a comparative p value of.100. Efficiency of shooting 10 rounds at baseline with the NDE/DH was 6.3 compared to shooting 7.3 with the DE/NDH. This difference was not statistically significant (p =.107). The transfer of shooting efficiency skill (retention) was 7.96 with a comparative p value of.349. This study supports shooting with the DE/NDH. HDT could be further developed to address the soldiering skill of shooting an M16. ©, This article not subject to US copyright law.
"de Graaf T.A.; van Ee R.; Croonenberg D.; Klink P.C.; Sack A.T.";0.0;Visual suppression at the offset of binocular rivalry;2017;Journal of Vision;10.1167/17.1.2;"Various paradigms can make visual stimuli disappear from awareness, but they often involve stimuli that are either relatively weak, competing with other salient inputs, and/or presented for a prolonged period of time. Here we explore a phenomenon that involves controlled perceptual disappearance of a peripheral visual stimulus without these limitations. It occurs when one eye's stimulus is abruptly removed during a binocular rivalry situation. This manipulation renders the remaining stimulus, which is still being presented to the other eye, invisible for up to several seconds. Our results suggest that this perceptual disappearance depends on a visual offset-transient that promotes dominance of the eye in which it occurs regardless of whether the eye is dominant or suppressed at the moment of the transient event. Using computational modeling, we demonstrate that standard rivalry mechanisms of interocular inhibition can indeed be complemented by a hypothesized transient-driven gating mechanism to explain the phenomenon. In essence, such a system suggests that visual awareness is dominated by the eye that receives transients and ''sticks with'' this eye-based dominance for some time in the absence of further transient events. We refer to this phenomenon as the ""disrupted rivalry effect"" and suggest that it is a potentially powerful paradigm for the study of cortical suppression mechanisms and the neural correlates of visual awareness."
