;title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;other;backtracking
132;Multi-Touch Querying on Data Physicalizations in Immersive AR;Herman, Bridger and Omdal, Maxwell and Zeller, Stephanie and Richter, Clara A. and Samsel, Francesca and Abram, Greg and Keefe, Daniel F.;2021;Proc. ACM Hum.-Comput. Interact.;0;10.1145/3488542;"Data physicalizations (3D printed terrain models, anatomical scans, or even abstract data) can naturally engage both the visual and haptic senses in ways that are difficult or impossible to do with traditional planar touch screens and even immersive digital displays. Yet, the rigid 3D physicalizations produced with today's most common 3D printers are fundamentally limited for data exploration and querying tasks that require dynamic input (e.g., touch sensing) and output (e.g., animation), functions that are easily handled with digital displays. We introduce a novel style of hybrid virtual + physical visualization designed specifically to support interactive data exploration tasks. Working toward a ""best of both worlds"" solution, our approach fuses immersive AR, physical 3D data printouts, and touch sensing through the physicalization. We demonstrate that this solution can support three of the most common spatial data querying interactions used in scientific visualization (streamline seeding, dynamic cutting places, and world-in-miniature visualization). Finally, we present quantitative performance data and describe a first application to exploratory visualization of an actively studied supercomputer climate simulation data with feedback from domain scientists. [disagreement; art]";0;0;0;0;0;0;1;0;0
133;Opportunistic Interfaces for Augmented Reality: Transforming Everyday Objects into Tangible 6DoF Interfaces Using Ad hoc UI;Du, Ruofei and Olwal, Alex and Le Goc, Mathieu and Wu, Shengzhi and Tang, Danhang and Zhang, Yinda and Zhang, Jun and Tan, David Joseph and Tombari, Federico and Kim, David;2022;Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems;0;10.1145/3491101.3519911;Real-time environmental tracking has become a fundamental capability in modern mobile phones and AR/VR devices. However, it only allows user interfaces to be anchored at a static location. Although fiducial and natural-feature tracking overlays interfaces with specific visual features, they typically require developers to define the pattern before deployment. In this paper, we introduce opportunistic interfaces to grant users complete freedom to summon virtual interfaces on everyday objects via voice commands or tapping gestures. We present the workflow and technical details of Ad hoc UI (AhUI), a prototyping toolkit to empower users to turn everyday objects into opportunistic interfaces on the fly. We showcase a set of demos with real-time tracking, voice activation, 6DoF interactions, and mid-air gestures and prospect the future of opportunistic interfaces.;0;0;0;0;0;0;1;0;0
137;IoT Stickers: Enabling Lightweight Modification of Everyday Objects;Williams, Kristin;2020;Adjunct Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology;0;10.1145/3379350.3415807;Internet-of-Things (IoT) devices promise to enhance even the most mundane of objects with computational properties by seamlessly coupling the virtual world to the physical. However, IoT's associated costs and cumbersome setup limits its extension to many everyday tasks and objects, such as those in the home. To address these issues, my dissertation work will enable IoT Stickers'a book of inexpensive, battery-free sensors and composition patterns'to support customizing everyday objects with software and web services using stickers. Using RFID-based paper mechanisms, IoT Stickers integrates common sensors and web services with interactive stickers through a trigger-action architecture. This integration enables computational services to be tailored to everyday activities by setting parameters to be passed to the sticker's actions and composing the stickers together. Thus, IoT Stickers demonstrates a way to associate IoT services with a dramatically wider set of objects and tasks.;0;0;0;0;0;0;1;0;0
138;Using Everyday Objects as Props for Virtual Objects in First Person Augmented Reality Games: An Elicitation Study;Greenslade, Mac and Clark, Adrian and Lukosch, Stephan;2023;Proc. ACM Hum.-Comput. Interact.;0;10.1145/3611052;In this paper, we present an elicitation study which explores how people use common household objects as props to control virtual objects in augmented reality first-person perspective games. 24 participants were asked to select items from a range of common household objects to use as controllers for three different types of virtual object: a sword, shield, and crossbow. Participants completed short gameplay tasks using their selected items and rated the AR experience using the Augmented Reality Immersion (ARI) questionnaire. Results found no strong consensus linking any specific household object to any virtual object across our test group and, in addition, those who chose the most commonly selected object for each task did not have significantly higher scores on the ARI questionnaire compared to those who did not. A short post-experiment interview indicated a few key factors that were important to participants when selecting their household object, such as shape, size, grip feel and weight distribution. Based on our findings we recommend that developers provide the ability for users to choose which household objects to use as props based on the user's own preferences, and that they design intuitive ways for users to interact with virtual objects.;0;0;0;0;0;0;1;0;0
151;Tangible Immersive Trauma Simulation: Is Mixed Reality the next level of medical skills training?;Uhl, Jakob Carl and Schrom-Feiertag, Helmut and Regal, Georg and Gallhuber, Katja and Tscheligi, Manfred;2023;Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems;0;10.1145/3544548.3581292;In medical simulation training two approaches are currently rather disjunct: realistic manikins are used to teach physical skills and procedures and VR systems are used to train situation assessment and decision making. We propose a mixed reality approach, which allows trainees to use real tools and their hands when interacting with a physical manikin overlaid with a responsive virtual avatar. In close exchange with first responder organizations, we developed and evaluated an MR training scenario. In the scenario, users can talk to injured people in a car accident, assess the threat of the environment, and utilize real medical equipment. Participants experienced high levels of physical- and self-presence, increased stress levels, and reported a high technology acceptance. The proposed main requirements of first responders regarding haptic multi-sensory skill training in MR and the lessons learned from the workshop aim to guide the design of training solutions for medical training in MR.;0;0;0;0;0;0;1;0;0
155;PalimPost: information convergence using sticky notes;Bian, Li and Shilkrot, Roy;2011;Proceedings of the Second International Workshop on Web of Things;0;10.1145/1993966.1993984;In today's world, the digital information retrieval experience is inherently a sparse device-centric activity. Users rely on the ability of the currently used device to supply the requested information, in some disconnection from past activities on other devices. There is a growing need to develop new methods of connecting cross-context information retrieval sessions. We present PalimPost, a converged system for storing, searching, and sharing digital and physical world information using sticky notes and mobile devices. PalimPost extracts contextual cues from a user's physical environment and activities, and connects them to the user's digital world research. Subsequently, the system presents systematically categorized information that is relevant to the moment of interaction in a just-in-time manner. PalimPost uses physical sticky notes with embedded QR codes, as well as virtual sticky notes on mobile devices. The system incorporates Automatic Speech Recognition (ASR), Optical Character Recognition (OCR), and Natural Language Processing (NLP) techniques for understanding and categorizing the content.;0;0;0;0;0;0;1;0;0
159;Invisible connections: investigating older people's emotions and social relations around objects;Vaisutis, Kate and Brereton, Margot and Robertson, Toni and Vetere, Frank and Durick, Jeannette and Nansen, Bjorn and Buys, Laurie;2014;Proceedings of the SIGCHI Conference on Human Factors in Computing Systems;0;10.1145/2556288.2557314;The advent of the Internet of Things creates an interest in how people might interrelate through and with networks of internet enabled objects. With an emphasis on fostering social connection and physical activity among older people, this preliminary study investigated objects that people over the age of 65 years viewed as significant to them. We conducted contextual interviews in people's homes about their significant objects in order to understand the role of the objects in their lives, the extent to which they fostered emotional and social connections and physical activity, and how they might be augmented through internet connection.Discussion of significant objects generated considerable emotion in the participants. We identified objects of comfort and routine, objects that exhibited status, those that fostered independence and connection, and those that symbolized relationships with loved ones. These findings lead us to consider implications for the design of interconnected objects.;0;0;0;0;0;0;1;0;0
162;Expressing Intent: An Exploration of Rich Interactions;Ng, Rachel S. and Kandala, Raghavendra and Marie-Foley, Sarah and Lo, Dixon and Steenson, Molly Wright and Lee, Austin S.;2016;Proceedings of the TEI '16: Tenth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/2839462.2856526;In this paper, we describe Expressing Intent - our initial exploration of rich interactions between human actors and three connected objects -- (1) a bookshelf that learns about taste, (2) a radio that determines mood, and (3) a window that augments visual reality. These objects interpret and express 'intent' in a multitude of ways within the context of a shared office space. Objects with intent, or animistic qualities, can evoke diverse reactions from human actors, depending on how they are designed. To investigate the effects of multiple human and non-human actors interacting with self-interest in mind, we deliberately designed each object with distinct needs and values that complement human behavior when placed in a shared office space. The resultant system of interactions involves cascading relations between object-object, human-object and object-human. Further, after our initial prototype, we discover prime areas in interaction design that warrant further exploration. Specifically, the implications of incorporating animism in object design, objects with needs and values independent of their users, and the implications of designing connected heterogeneous ecosystems (i.e. distinct but cooperative objects) vs. homogenous ecosystems (i.e. uniform and cooperative objects).;0;0;0;0;0;0;1;0;0
164;Opportunistic controls: leveraging natural affordances as tangible user interfaces for augmented reality;Henderson, Steven J. and Feiner, Steven;2008;Proceedings of the 2008 ACM Symposium on Virtual Reality Software and Technology;0;10.1145/1450579.1450625;We present Opportunistic Controls, a class of user interaction techniques for augmented reality (AR) applications that support gesturing on, and receiving feedback from, otherwise unused affordances already present in the domain environment. Opportunistic Controls leverage characteristics of these affordances to provide passive haptics that ease gesture input, simplify gesture recognition, and provide tangible feedback to the user. 3D widgets are tightly coupled with affordances to provide visual feedback and hints about the functionality of the control. For example, a set of buttons is mapped to existing tactile features on domain objects. We describe examples of Opportunistic Controls that we have designed and implemented using optical marker tracking, combined with appearance-based gesture recognition. We present the results of a user study in which participants performed a simulated maintenance inspection of an aircraft engine using a set of virtual buttons implemented both as Opportunistic Controls and using simpler passive haptics. Opportunistic Controls allowed participants to complete their tasks significantly faster and were preferred over the baseline technique.;0;0;0;0;0;0;1;0;0
174;ubiGaze: ubiquitous augmented reality messaging using gaze gestures;"B\^{a}ce, Mihai and Lepp\""{a}nen, Teemu and de Gomez, David Gil and Gomez, Argenis Ramirez";2016;SIGGRAPH ASIA 2016 Mobile Graphics and Interactive Applications;0;10.1145/2999508.2999530;We describe ubiGaze, a novel wearable ubiquitous method to augment any real-world object with invisible messages through gaze gestures that lock the message into the object. This enables a context and location dependent messaging service, which users can utilize discreetly and effortlessly. Further, gaze gestures can be used as an authentication method, even when the augmented object is publicly known. We developed a prototype using two wearable devices: a Pupil eye tracker equipped with a scene camera and a Sony Smartwatch 3. The eye tracker follows the users' gaze, the scene camera captures distinct features from the selected real-world object, and the smartwatch provides both input and output modalities for selecting and displaying messages. We describe the concept, design, and implementation of our real-world system. Finally, we discuss research implications and address future work.;0;0;0;0;0;0;1;0;0
176;ARnatomy: tangible AR app for learning gross anatomy;Seo, Jinsil Hwaryoung and Storey, James and Chavez, John and Reyna, Diana and Suh, Jinkyo and Pine, Michelle;2014;ACM SIGGRAPH 2014 Posters;0;10.1145/2614217.2614279;"Our goal is to develop a Tangible Augmented-Reality Interface
for mobile devices to enhance the effectiveness of learning gross
anatomy in a group and/or individual study settings. Learning
anatomy is fundamental to every health profession and related
domains (Dance Science and Visual Art). However, many
students spend most of their time memorizing anatomical terms
shown in 2D in a textbook without learning or understanding the
spatial relationships. This is problematic in that the students do
not completely grasp the relevance of the material, and therefore
rapidly loose what they have memorized. It is believed that
cadaver dissection is the optimal method of anatomy education
[Winkelmann, 2007]. Cadaver dissection provides knowledge of
the shape and size of the organs, bones, and muscles. In addition,
it gives students a spatial appreciation on how individual body
parts are positioned relative to the rest of the body. However it has
limited accessibility beyond a lab setting. It is also getting
difficult because of an increased recognition in animal rights
issues. This prototype merges the textbook information on skeletal
structures and the tactile interaction of physical bones. To
accomplish this goal, we created a prototype that can recognize a
variety of 3D print bones with visual markers. Once recognized
the bones are populated with virtual text labels that move on the
screen to match the video camera feed of the bones.";0;0;0;0;0;0;1;0;0
182;Wearable interaction and home automation to improve the patient wellness: study of perceived benefits;de la Gu\'{\i}a, Elena and L\'{o}pez, Vicente and Olivares, Teresa and Orozco, Luis and Lozano, Mar\'{\i}a D. and Penichet, Victor;2020;Proceedings of the 5th Workshop on ICTs for Improving Patients Rehabilitation Research Techniques;0;10.1145/3364138.3364162;"The concept of Health Smart House aims at giving an autonomous life, in their own home, to people who suffering from a chronic disease, older, handicapped people, etc. However, developing a smart health system for home is a challenge. A long-term, it must meet the specific needs of any user. In addition, it must provide the most important daily services. That is, to design and develop smart health system is important to know patients' needs and the point of view of caregivers, doctors, nurses, etc. In this paper, we have based on a smart-home environment that use home automation and tangible and wearable interaction to improve the patients' quality of life. In order to know the point of view the patient, caregivers, doctors, etc. We conducted an expert survey to identify challenges and advantages in home automation and system interaction. The survey is divided into three sections: the patients' load cognitive using the system; the most useful variables related to data gathering through sensors, and the system social acceptance. Thanks to the results obtained, we contribute to a better understanding about important factors in healthcare, home automation and user interaction.";0;0;0;0;0;0;1;0;0
184;PIPLEX: tangible experience in an augmented reality video game;Blanco, Jos\'{e} Mar\'{\i}a and Landry, Pascal and C., Sebasti\'{a}n Mealla and Mazzone, Emanuela and Par\'{e}s, Narc\'{\i}s;2010;Proceedings of the 9th International Conference on Interaction Design and Children;0;10.1145/1810543.1810590;In this paper we describe a work in progress of a mixed-reality framework based on tangible interface applied to a video game designed for children. This video game, called PIPLEX, lays on the ability of the users to solve a puzzle through modelling malleable materials (namely plasticine and cardboard). We explain the implementation of PIPLEX, its interaction rules and the physical set-up. Additionally, we suggest future applications that can be developed in the context of our framework.;0;0;0;0;0;0;1;0;0
186;CheckMate: Exploring a Tangible Augmented Reality Interface for Remote Interaction;"G\""{u}nther, Sebastian and M\""{u}ller, Florian and Schmitz, Martin and Riemann, Jan and Dezfuli, Niloofar and Funk, Markus and Sch\""{o}n, Dominik and M\""{u}hlh\""{a}user, Max";2018;Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems;0;10.1145/3170427.3188647;The digitalized world comes with increasing Internet capabilities, allowing to connect persons over distance easier than ever before. Video conferencing and similar online applications create great benefits bringing people who physically cannot spend as much time as they want virtually together. However, such remote experiences can also tend to lose the feeling of traditional experiences. People lack direct visual presence and no haptic feedback is available. In this paper, we tackle this problem by introducing our system called CheckMate. We combine Augmented Reality and capacitive 3D printed objects that can be sensed on an interactive surface to enable remote interaction while providing the same tangible experience as in co-located scenarios. As a proof-of-concept, we implemented a sample application based on the traditional chess game.;0;0;0;0;0;0;1;0;0
188;Closing the Distance: Mixed and Augmented Reality, Tangibles and Indigenous Culture Preservation;"Sieck, J\""{u}rgen and Zaman, Tariq";2017;Proceedings of the Ninth International Conference on Information and Communication Technologies and Development;0;10.1145/3136560.3136586;Since the beginning of the 21st century, computer technologies are more and more able to understand the real world by the informational structure of meta-data. With the advent of new tools, the traditional distinction between culture and technology has become obsolete. In this paper, we will discuss different approaches to create mixed reality applications for Indigenous cultural preservation and also best practices of developing augmented and mixed reality systems in two different cultural contexts. We will describe several technical aspects of mobile devices, tangible user interfaces and context-sensitive services in information systems for museums and local communities developed at the researchers' affiliated institutions. Our initial evaluations show that the systems are engaging and encourage intergenerational knowledge exchange, thus have the potential to help in cultural preservation of partner communities.;0;0;0;0;0;0;1;0;0
189;Opportunistic interaction in the challenged internet of things;"Wirtz, Hanno and R\""{u}th, Jan and Serror, Martin and Bitsch Link, J\'{o} \'{A}gila and Wehrle, Klaus";2014;Proceedings of the 9th ACM MobiCom Workshop on Challenged Networks;0;10.1145/2645672.2645679;Under intermittent Internet connectivity, enabling interaction between smart objects and mobile users in the Internet of Things (IoT) becomes a challenge. We thus discuss the notion of a 'Challenged IoT' and propose Direct Interaction with Smart Challenged Objects (DISCO), enabling objects to define their interaction patterns and interface. Building on the distinct features of Bluetooth Low Energy (BLE), objects then convey their interface directly to mobile users. DISCO mitigates the need for Internet connectivity and pre-installed interfaces, i.e., smartphone apps, of existing approaches and proposes autonomous and local interaction with smart objects as a challenged network scenario. We implement DISCO for Android and iOS smartphones as well as Linux and Arduino objects and illustrate the design space of interaction patterns with Augmented Reality (AR) interaction based on visual object recognition within the tangible interaction sphere of the user. Our system evaluation shows the immediate real-life feasibility and applicability of DISCO on current hardware.;0;0;0;0;0;0;1;0;0
199;Physikit: Data Engagement Through Physical Ambient Visualizations in the Home;Houben, Steven and Golsteijn, Connie and Gallacher, Sarah and Johnson, Rose and Bakker, Saskia and Marquardt, Nicolai and Capra, Licia and Rogers, Yvonne;2016;Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems;0;10.1145/2858036.2858059;"Internet of things (IoT) devices and sensor kits have the potential to democratize the access, use, and appropriation of data. Despite the increased availability of low cost sensors, most of the produced data is ""black box"" in nature: users often do not know how to access or interpret data. We propose a ""human-data design"" approach in which end-users are given tools to create, share, and use data through tangible and physical visualizations. This paper introduces Physikit, a system designed to allow users to explore and engage with environmental data through physical ambient visualizations. We report on the design and implementation of Physikit, and present a two-week field study which showed that participants got an increased sense of the meaning of data, embellished and appropriated the basic visualizations to make them blend into their homes, and used the visualizations as a probe for community engagement and social behavior. [yes and no - check plant, fig 11]";0;0;0;0;0;0;1;0;0
200;ATSI: Augmented and Tangible Sonic Interaction;Pugliese, Roberto and Politis, Archontis and Takala, Tapio;2015;Proceedings of the Ninth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/2677199.2680550;This paper presents ATSI, a system for sonic augmentation of physical objects with spatialized sounds and their control by gestural interaction. The implementation combines tracking of the users' hands and head with commodity hardware, and binaural spatialized sound rendering over headphones. The user may attach sounds to common objects and the system maintains the correct spatial auditory perspective inside the augmented scene during the actions of attaching sounds, picking and moving the sounding objects, or exploring the scene. Attention has been given to the binaural rendering of distance cues to support the above actions with perceptual realism in small scale environments and for many objects. Through a user study assessing the localization accuracy that can be achieved with the system, we show that sound rendering performance looks appropriate for applications such as auditory displays for context and object specific information, sonic design for architectural planning and interior design, and music applications.;0;0;0;0;0;0;1;0;0
208;Pineal: Bringing Passive Objects to Life with Embedded Mobile Devices;Ledo, David and Anderson, Fraser and Schmidt, Ryan and Oehlberg, Lora and Greenberg, Saul and Grossman, Tovi;2017;Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems;0;10.1145/3025453.3025652;"Interactive, smart objects-customized to individuals and uses-are central to many movements, such as tangibles, the internet of things (IoT), and ubiquitous computing. Yet, rapid prototyping both the form and function of these custom objects can be problematic, particularly for those with limited electronics or programming experience. Designers often need to embed custom circuitry; program its workings; and create a form factor that not only reflects the desired user experience but can also house the required circuitry and electronics. To mitigate this, we created Pineal, a design tool that lets end-users: (1) modify 3D models to include a smart watch or phone as its heart; (2) specify high-level interactive behaviours through visual programming; and (3) have the phone or watch act out such behaviours as the objects' ""smarts"". Furthermore, a series of prototypes show how Pineal exploits mobile sensing and output, and automatically generates 3D printed form-factors for rich, interactive, objects.";0;0;0;0;0;0;1;0;0
209;Paper Gaming: Creating IoT Paper Interactions with Conductive Inks and Web-connectivity through EKKO;Lochrie, Mark and Mills, John and Egglestone, Paul and Skelly, Martin;2015;Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play;0;10.1145/2793107.2810321;"Paper is ubiquitous. It forms a substantial part of our everyday activities and interactions; ranging from our take-away coffee cups -- to wallpaper -- to rail tickets -- to board and card games. Imagine if you could connect paper to the Internet, interact and update it with additional data but without recourse to reprinting or using e-ink alternatives. This paper explores work examining conductive inks and web-connectivity of printed objects, which form part of an emergent sub-field within the Internet of Things (IoT) and paper. Our research is starting to explore a range of media uses, such as interactive newspapers, books, beer mats and now gaming environments through prototype IoT device named EKKO; a clip that allows conductive ink frameworks to detect human touch interaction revealing rich media content through a mobile application as the 'second screen'.";0;0;0;0;0;0;1;0;0
211;FlexTouch: Enabling Large-Scale Interaction Sensing Beyond Touchscreens Using Flexible and Conductive Materials;Wang, Yuntao and Zhou, Jianyu and Li, Hanchuan and Zhang, Tengxiang and Gao, Minxuan and Cheng, Zhuolin and Yu, Chun and Patel, Shwetak and Shi, Yuanchun;2019;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;0;10.1145/3351267;In this paper, we present FlexTouch, a technique that enables large-scale interaction sensing beyond the spatial constraints of capacitive touchscreens using passive low-cost conductive materials. This is achieved by customizing 2D circuit-like patterns with an array of conductive strips that can be easily attached to the sensing nodes on the edge of the touchscreen. FlexTouch requires no hardware modification, and is compatible with various conductive materials (copper foil tape, silver nanoparticle ink, ITO frames, and carbon paint), as well as fabrication methods (cutting, coating, and ink-jet printing). Through a series of studies and illustrative examples, we demonstrate that FlexTouch can support long-range touch sensing for up to 4 meters and everyday object presence detection for up to 2 meters. Finally, we show the versatility and feasibility of FlexTouch through applications such as body posture recognition, human-object interaction as well as enhanced fitness training experiences.;0;0;0;0;0;0;1;0;0
213;An intravenous injection simulator using augmented reality for veterinary education and its evaluation;Lee, Jun and Kim, WonJong and Seo, Anna and Jun, JiSun and Lee, SeungYeon and Kim, Jee-In and Eom, KiDong and Pyeon, Muwook and Lee, Hanku;2012;Proceedings of the 11th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry;0;10.1145/2407516.2407524;This paper proposes a simulator for veterinary education based on augmented reality. We selected an intravenous injection procedure for the simulation because the injection procedure is the most frequently used procedure during veterinary training and the most difficult stage for beginning veterinary students. The proposed AR simulator provides with a tangible prop, of which shape looks like a leg of a real dog. It also has an injection simulator, which receives user's input and sends force feedbacks to indicate results of the injection simulation. We developed a Workbench type AR system with an LED display and cameras for visual information processing. Finally, we evaluated its performance through experiments and user studies to check its acceptance level and usability of the proposed system. We compared the proposed system with a VR based system using a monitor. The results showed that the proposed system showed better performances over these systems.;0;0;0;0;0;0;1;0;0
227;Understanding Family Collaboration Around Lightweight Modification of Everyday Objects in the Home;Williams, Kristin and Pulivarthy, Rajitha and Hudson, Scott E. and Hammer, Jessica;2019;Proc. ACM Hum.-Comput. Interact.;0;10.1145/3359287;The internet-of-things (IoT) carries substantial costs by urging households to replace their possessions with new, internet connected versions of everyday objects. Beyond financial, these costs include waste, work to arrange and orchestrate objects to suit households, and that of acquiring new skills. Upcycling domestic objects could offer households greater discretion and control over these costs by supporting the ability to tailor IoT to the home. To understand how households might do this, we conducted a home study with 10 diverse American households over 7 days to surface the approaches families are likely to use when tailoring IoT to their existing possessions. We asked family members to enact their process using endowed sticker props---IoT Stickers---to modify objects in their home. We develop a framework of how families make light weight modifications of domestic possessions, summarize trends of their object modifications, and describe the burdens such a system could impose.;0;0;0;0;0;0;1;0;0
232;Annexing Reality: Enabling Opportunistic Use of Everyday Objects as Tangible Proxies in Augmented Reality;Hettiarachchi, Anuruddha and Wigdor, Daniel;2016;Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems;0;10.1145/2858036.2858134;"Advances in display and tracking technologies hold the promise of increasingly immersive augmented-reality experiences. Unfortunately, the on-demand generation of haptic experiences is lagging behind these advances in other feedback channels. We present Annexing Reality; a system that opportunistically annexes physical objects from a user's current physical environment to provide the best-available haptic sensation for virtual objects. It allows content creators to a priori specify haptic experiences that adapt to the user's current setting. The system continuously scans user's surrounding, selects physical objects that are similar to given virtual objects, and overlays the virtual models on to selected physical ones reducing the visual-haptic mismatch. We describe the developer's experience with the Annexing Reality system and the techniques utilized in realizing it. We also present results of a developer study that validates the usability and utility of our method of defining haptic experiences.";0;0;0;0;0;0;1;0;0
240;TouchCounters: designing interactive electronic labels for physical containers;Yarin, Paul and Ishii, Hiroshi;2000;CHI '00 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/633292.633305;TouchCounters is a system of electronic labels, physical storage containers, and shelving surfaces linked by specialized hardware. The labels record and display accumulated usage information directly upon physical storage containers, thus allowing access to this information during the performance of physical tasks. A distributed communications network allows remote access to this data from the Internet. This video demonstrates the functionality of TouchCounters in supporting the shared use of physical resources.;0;0;0;0;0;0;1;0;0
241;"Touch &amp; Share: RFID based ubiquitous file containers";S\'{a}nchez, Iv\'{a}n and Riekki, Jukka and Rousu, Jarkko and Pirttikangas, Susanna;2008;Proceedings of the 7th International Conference on Mobile and Ubiquitous Multimedia;0;10.1145/1543137.1543148;"Here, we present Touch &amp; Share, an application for sharing multimedia content in our everyday environment. Our main design criterion is ease of use. Visual icons placed in the environment act as data storage (file containers). Users can drop multimedia files into the containers and pick files from them by touching the icons with their mobile terminals. The icons are placed on, or near, the physical objects the files are related to. RFID tags are placed behind the icons and they store metadata information about the files available in the corresponding containers. When users bring their terminals near the icons, the terminals' RFID readers communicate with the tags, read the contents of a container from the tag and possibly write information about new files. The actual files are stored in a server, but the user experiences the files to be in the containers. The main contributions of this work are a general application for storing multimedia content in nearly any place or everyday object and a fully functional prototype built using only commercial off-the-self technology.";0;0;0;0;0;0;1;0;0
250;LightBeam: nomadic pico projector interaction with real world objects;"Huber, Jochen and Steimle, J\""{u}rgen and Liao, Chunyuan and Liu, Qiong and M\""{u}hlh\""{a}user, Max";2012;CHI '12 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/2212776.2223828;Pico projectors have lately been investigated as mobile display and interaction devices. We propose to use them as 'light beams': Everyday objects sojourning in a beam are turned into dedicated projection surfaces and tangible interaction devices. While this has been explored for large projectors, the affordances of pico projectors are fundamentally different: they have a very small and strictly limited projection ray and can be carried around in a nomadic way during the day. Thus it is unclear how this could be actually leveraged for tangible interaction with physical, real world objects. We have investigated this in an exploratory field study and contribute the results. Based upon these, we present exemplary interaction techniques and early user feedback.;0;0;0;0;0;0;1;0;0
253;StretchAR: Exploiting Touch and Stretch as a Method of Interaction for Smart Glasses Using Wearable Straps;Paredes, Luis and Ipsita, Ananya and Mesa, Juan C. and Martinez Garrido, Ramses V. and Ramani, Karthik;2022;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;0;10.1145/3550305;Over the past decade, augmented reality (AR) developers have explored a variety of approaches to allow users to interact with the information displayed on smart glasses and head-mounted displays (HMDs). Current interaction modalities such as mid-air gestures, voice commands, or hand-held controllers provide a limited range of interactions with the virtual content. Additionally, these modalities can also be exhausting, uncomfortable, obtrusive, and socially awkward. There is a need to introduce comfortable interaction techniques for smart glasses and HMDS without the need for visual attention. This paper presents StretchAR, wearable straps that exploit touch and stretch as input modalities to interact with the virtual content displayed on smart glasses. StretchAR straps are thin, lightweight, and can be attached to existing garments to enhance users' interactions in AR. StretchAR straps can withstand strains up to 190% while remaining sensitive to touch inputs. The strap allows the effective combination of these inputs as a mode of interaction with the content displayed through AR widgets, maps, menus, social media, and Internet of Things (IoT) devices. Furthermore, we conducted a user study with 15 participants to determine the potential implications of the use of StretchAR as input modalities when placed on four different body locations (head, chest, forearm, and wrist). This study reveals that StretchAR can be used as an efficient and convenient input modality for smart glasses with a 96% accuracy. Additionally, we provide a collection of 28 interactions enabled by the simultaneous touch-stretch capabilities of StretchAR. Finally, we facilitate recommendation guidelines for the design, fabrication, placement, and possible applications of StretchAR as an interaction modality for AR content displayed on smart glasses.;0;0;0;0;0;0;1;0;0
264;WebClip: a connector for ubiquitous physical input and output for touch screen devices;Kubitza, Thomas and Pohl, Norman and Dingler, Tilman and Schmidt, Albrecht;2013;Proceedings of the 2013 ACM International Joint Conference on Pervasive and Ubiquitous Computing;0;10.1145/2493432.2493520;It has become extremely easy for developers to build custom software for smartphone and tablet computers. However, it is still hard to extend those devices with external electronics, e.g. additional sensors and actuators. In the moment when external hardware can be easily attached to phones and tablets a wide new application space will be opened up. With WebClip we present a device offering digital and analogue I/O ports that can be controlled and monitored by just clipping the device onto a capacitive touch screen. A web page in the browser of the touch screen device is used to control the bi-directional communication. Data from the WebClip to the device is sent by emulating touches on the screen whereas the reverse direction uses light sensors on the bottom side of the clip to receive light sequences emitted by the web page. A simple Javascript API is offered to build custom web applications. We have successfully tested our prototype with a variety of phones and tablet computers and report on performance and limitations.;0;0;0;0;0;0;1;0;0
286;Pmomo: Projection Mapping on Movable 3D Object;Zhou, Yi and Xiao, Shuangjiu and Tang, Ning and Wei, Zhiyong and Chen, Xu;2016;Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems;0;10.1145/2858036.2858329;We introduce Pmomo (acronym of projection mapping on movable object), a dynamic projection mapping system that tracks the 6-DOF position of real-world object, and shades it with virtual 3D contents by projection. The system can precisely lock the projection on the moving object in real-time, even the one with complex geometry. Based on depth camera, we developed a novel and robust tracking method that samples the structure of the object into low-density point cloud, then performs an adaptive searching scheme for the registration procedure. As a fully interactive system, our method can handle both internal and external complex occlusions, and can quickly track back the object even when losing track. In order to further improve the realism of the projected virtual textures, our system innovatively culls occlusions away from projection, which is achieved by a facet-covering method. As a result, the Pmomo system enables the possibility of new interactive Augmented Reality applications that require high-quality dynamic projection effect.;0;0;0;0;0;0;1;0;0
